Name,Possible Value,Unit,Range,Description
ACRO_BAL_PITCH,1,,0 3,rate at which pitch angle returns to level in acro mode. A higher value causes the vehicle to return to level faster.
ACRO_BAL_ROLL,1,,0 3,rate at which roll angle returns to level in acro mode. A higher value causes the vehicle to return to level faster.
ACRO_EXPO,0.3,,,Coming soon
ACRO_RP_P,4.5,43475,,Converts pilot roll and pitch into a desired rate of rotation in ACRO and SPORT mode. Higher values mean faster rate of rotation.
ACRO_TRAINER,2,,0:Disabled 1:Leveling 2:Leveling and Limited,
ACRO_YAW_P,4.5,43475,,"Converts pilot yaw input into a desired rate of rotation in ACRO, Stabilize and SPORT modes. Higher values mean faster rate of rotation."
AHRS_COMP_BETA,0.1,,0.001 0.5,This controls the time constant for the cross-over frequency used to fuse AHRS (airspeed and heading) and GPS data to estimate ground velocity. Time constant is 0.1/beta. A larger time constant will use GPS data less and a small time constant will use air data less.
AHRS_GPS_GAIN,1,,0.0 1.0,This controls how how much to use the GPS to correct the attitude. This should never be set to zero for a plane as it would result in the plane losing control in turns. For a plane please use the default value of 1.0.
AHRS_GPS_MINSATS,6,,0 10,"Minimum number of satellites visible to use GPS for velocity based corrections attitude correction. This defaults to 6, which is about the point at which the velocity numbers from a GPS become too unreliable for accurate correction of the accelerometers."
AHRS_GPS_USE,1,,0:Disabled 1:Enabled,
AHRS_ORIENTATION,0,,0:None 1:Yaw45 2:Yaw90 3:Yaw135 4:Yaw180 5:Yaw225 6:Yaw270 7:Yaw315 8:Roll180 9:Roll180Yaw45 10:Roll180Yaw90 11:Roll180Yaw135 12:Pitch180 13:Roll180Yaw225 14:Roll180Yaw270 15:Roll180Yaw315 16:Roll90 17:Roll90Yaw45 18:Roll90Yaw90 19:Roll90Yaw135 20:Roll270 21:Roll270Yaw45 22:Roll270Yaw90 23:Roll270Yaw136 24:Pitch90 25:Pitch270 26:Pitch180Yaw90 27:Pitch180Yaw270 28:Roll90Pitch90 29:Roll180Pitch90 30:Roll270Pitch90 31:Roll90Pitch180 32:Roll270Pitch180 33:Roll90Pitch270 34:Roll180Pitch270 35:Roll270Pitch270 36:Roll90Pitch180Yaw90 37:Roll90Yaw270,
AHRS_RP_P,0.1,,0.1 0.4,This controls how fast the accelerometers correct the attitude
