Name,Possible Value,Unit,Range,Description
THR_PASS_STAB,0.0,2,-100 100,Throttle passthru in stabilize
THR_FAILSAFE,1.0,2,,0:Disable 1:Enable
GPS_SBAS_MODE,2.0,2,,0:Disabled 1:Enable 2:NoChange
FORMAT_VERSION,13.0,4,1 255,Eeprom format version number
SYSID_SW_TYPE,0.0,2,,Unknown
SYSID_THISMAV,1.0,4,1 255,MAVLink system ID of this vehicle
SYSID_MYGCS,255.0,4,1 255,Ground station MAVLink system ID
SERIAL0_PROTOCOL,1.0,2,,1:MAVlink1 2:MAVlink2  And muchmore  (Reboot requeired)
SERIAL0_BAUD,115.0,6,,0:1200 2:2400 4:4800 9:9600: 19:19200 38:38400 57: 57600 111:111100 115: 115200 256:256000 460:460800 500:500000 921: 921600 1500:1500000
SERIAL1_PROTOCOL,1.0,2,,1:MAVlink1 2:MAVlink2  And muchmore  (Reboot requeired)
SERIAL1_BAUD,57.0,6,,0:1200 2:2400 4:4800 9:9600: 19:19200 38:38400 57: 57600 111:111100 115: 115200 256:256000 460:460800 500:500000 921: 921600 1500:1500000
SERIAL2_PROTOCOL,1.0,2,,1:MAVlink1 2:MAVlink2  And much more  (Reboot requeired)
SERIAL2_BAUD,57.0,6,,0:1200 2:2400 4:4800 9:9600: 19:19200 38:38400 57: 57600 111:111100 115: 115200 256:256000 460:460800 500:500000 921: 921600 1500:1500000
SERIAL3_PROTOCOL,5.0,2,,1:MAVlink1 2:MAVlink2  And much more  (Reboot requeired)
SERIAL3_BAUD,38.0,6,,0:1200 2:2400 4:4800 9:9600: 19:19200 38:38400 57: 57600 111:111100 115: 115200 256:256000 460:460800 500:500000 921: 921600 1500:1500000
SERIAL4_PROTOCOL,5.0,2,,1:MAVlink1 2:MAVlink2  And much more  (Reboot requeired)
SERIAL4_BAUD,38.0,6,,0:1200 2:2400 4:4800 9:9600: 19:19200 38:38400 57: 57600 111:111100 115: 115200 256:256000 460:460800 500:500000 921: 921600 1500:1500000
AUTOTUNE_LEVEL,6.0,2,43475,Autotune level
TELEM_DELAY,0.0,2,0 30,Telemetry startup delay
GCS_PID_MASK,0.0,4,,0:Roll 1:Pitch 2:Yaw 3:Steering 4:Landing
KFF_RDDRMIX,0.5,9,0 1,Rudder Mix (Increment 0.01)
KFF_THR2PTCH,0.0,9,0 1,Throttle to Pitch Mix (Increment 0.01)
STAB_PITCH_DOWN,2.0,9,0 15,Low throttle pitch down trim (Increment 0.01)
GLIDE_SLOPE_MIN,15.0,4,0 1000,Glide slope minimum (Increment 1 meters)
GLIDE_SLOPE_THR,5.0,9,0 100,Glide slope threshold (Increment 1 meters)
STICK_MIXING,1.0,2,,0:Disabled 1:FBWMixing 2:DirectMixing
SKIP_GYRO_CAL,0.0,2,,Unknown
AUTO_FBW_STEER,0.0,2,,"Use FBWA steering in AUTO, 0:Disabled 42:Enabled"
TKOFF_THR_MINSPD,0.0,9,0 30,Takeoff throttle min speed (Increment 0.1 m/s)
TKOFF_THR_MINACC,0.0,9,0 30,Takeoff throttle min acceleration (Increment 0.1 m/s^2)
TKOFF_THR_DELAY,2.0,2,0 127,Takeoff throttle delay (Increment 1 deciseconds)
TKOFF_TDRAG_ELEV,0.0,2,,FBWA taildragger channel
TKOFF_TDRAG_SPD1,0.0,9,0 30,Takeoff tail dragger speed1  (Increment 0.1 m/s)
TKOFF_ROTATE_SPD,0.0,9,0 30,Takeoff rotate speed (Increment 0.1 m/s)
TKOFF_THR_SLEW,0.0,2,-1 127,Takeoff throttle slew rate (Increment 1)
TKOFF_FLAP_PCNT,0.0,2,0 100,Takeoff flap percentage
FBWA_TDRAG_CHAN,0.0,2,,FBWA taildragger channel
LEVEL_ROLL_LIMIT,5.0,2,0 45,Level flight roll limit (Increment 1 degrees)
LAND_PITCH_CD,0.0,4,,Landing Pitch
LAND_FLARE_ALT,3.0,9,,Landing flare altitude (Increment 0.1 degrees)
LAND_FLARE_SEC,2.0,9,,Landing flare time (Increment 0.1 degrees)
LAND_DISARMDELAY,20.0,2,0 127,Landing disarm delay (Increment 1 seconds)
NAV_CONTROLLER,1.0,2,0: Default 1:L1Controller,Navigation controller selection
ALT_MIX,1.0,9,,Not Yet
ALT_CTRL_ALG,0.0,2,0:Automatic,Altitude control algorithm
ALT_OFFSET,0.0,4,-32767 32767,Altitude offset (Increment 1 meters)
WP_RADIUS,90.0,4,1 32767,Waypoint Radius (Increment 1 meters)
WP_MAX_RADIUS,0.0,4,0 32767,Waypoint Maximum Radius (Increment 1 meters)
WP_LOITER_RAD,60.0,4,-32767 32767,Waypoint Loiter Radius
FENCE_ACTION,0.0,2,0:None 1:GuidedMode 2:ReportOnly 3:GuidedModeThrPass 4:RTL_Mode,Action on geofence breach
FENCE_TOTAL,0.0,2,,Fence Total
FENCE_CHANNEL,0.0,2,,Fence Channel
FENCE_MINALT,0.0,4,0 32767,Fence Minimum Altitude (Increment 1 meters)
FENCE_MAXALT,0.0,4,0 32767,Fence Maximum Altitude (Increment 1 meters)
FENCE_RETALT,0.0,4,0 32767,Fence Return Altitude (Increment 1 meters)
FENCE_AUTOENABLE,0.0,2,0:NoAutoEnable 1:AutoEnable 2:AutoEnableDisableFloorOnly 3:EnableWhenArmed,Fence automatic enable
FENCE_RET_RALLY,0.0,2,0:FenceReturnPoint 1:NearestRallyPoint,Fence Return to Rally
STALL_PREVENTION,1.0,2,0:Disabled 1:Enabled,Enable stall prevention
ARSPD_FBW_MIN,9.0,4,5 100,Minimum Airspeed (Increment 1 m/s)
ARSPD_FBW_MAX,22.0,4,5 100,Maximum Airspeed (Increment 1 m/s)
FBWB_ELEV_REV,0.0,2,0:Disabled 1:Enabled,Fly By Wire elevator reverse
FBWB_CLIMB_RATE,2.0,2,1 10,Fly By Wire B altitude change rate (Increment 0.1 m/s)
THR_MIN,0.0,2,-100 100,Minimum Throttle (Increment 1 precent)
THR_MAX,75.0,2,0 100,Maximum Throttle (Increment 1 precent)
TKOFF_THR_MAX,0.0,2,0 100,Maximum Throttle for takeoff (Increment 1 precent)
THR_SLEWRATE,100.0,2,0 127,Throttle slew rate
FLAP_SLEWRATE,75.0,2,0 100,Flap slew rate
THR_SUPP_MAN,0.0,2,,Not Yet
THR_FAILSAFE,1.0,2,,Not Yet
THR_FS_VALUE,950.0,4,,Not Yet
TRIM_THROTTLE,45.0,2,,Not Yet
THROTTLE_NUDGE,1.0,2,,Not Yet
FS_SHORT_ACTN,0.0,2,,Not Yet
FS_SHORT_TIMEOUT,1.5,9,,Not Yet
FS_LONG_ACTN,0.0,2,,Not Yet
FS_LONG_TIMEOUT,5.0,9,,Not Yet
FS_BATT_VOLTAGE,0.0,9,,Not Yet
FS_BATT_MAH,0.0,9,,Not Yet
FS_GCS_ENABL,0.0,2,,Not Yet
FLTMODE_CH,8.0,2,,Not Yet
FLTMODE1,11.0,2,,Not Yet
FLTMODE2,11.0,2,,Not Yet
FLTMODE3,5.0,2,,Not Yet
FLTMODE4,5.0,2,,Not Yet
FLTMODE5,0.0,2,,Not Yet
FLTMODE6,0.0,2,,Not Yet
INITIAL_MODE,0.0,2,,Not Yet
LIM_ROLL_CD,4500.0,4,,Not Yet
LIM_PITCH_MAX,2000.0,4,,Not Yet
LIM_PITCH_MIN,-2500.0,4,,Not Yet
ACRO_ROLL_RATE,180.0,4,,Not Yet
ACRO_PITCH_RATE,180.0,4,,Not Yet
ACRO_LOCKING,0.0,2,,Not Yet
GROUND_STEER_ALT,0.0,9,,Not Yet
GROUND_STEER_DPS,90.0,4,,Not Yet
TRIM_AUTO,0.0,2,,Not Yet
ELEVON_MIXING,0.0,2,,Not Yet
ELEVON_REVERSE,0.0,2,,Not Yet
ELEVON_CH1_REV,0.0,2,,Not Yet
ELEVON_CH2_REV,0.0,2,,Not Yet
VTAIL_OUTPUT,0.0,2,,Not Yet
ELEVON_OUTPUT,0.0,2,,Not Yet
MIXING_GAIN,0.5,9,,Not Yet
RUDDER_ONLY,0.0,2,,Not Yet
SYS_NUM_RESETS,13.0,4,,Not Yet
LOG_BITMASK,16254.0,6,,Not Yet
RST_SWITCH_CH,0.0,2,,Not Yet
RST_MISSION_CH,0.0,2,,Not Yet
TRIM_ARSPD_CM,1200.0,6,,Not Yet
SCALING_SPEED,15.0,9,,Not Yet
MIN_GNDSPD_CM,0.0,6,,Not Yet
TRIM_PITCH_CD,0.0,4,,Not Yet
ALT_HOLD_RTL,10000.0,6,,Not Yet
ALT_HOLD_FBWCM,0.0,4,,Not Yet
MAG_ENABLE,1.0,2,,Not Yet
FLAP_IN_CHANNEL,0.0,2,,Not Yet
FLAPERON_OUTPUT,0.0,2,,Not Yet
FLAP_1_PERCNT,0.0,2,,Not Yet
FLAP_1_SPEED,0.0,2,,Not Yet
FLAP_2_PERCNT,0.0,2,,Not Yet
FLAP_2_SPEED,0.0,2,,Not Yet
LAND_FLAP_PERCNT,0.0,2,,Not Yet
RSSI_PIN,-1.0,2,,Not Yet
RSSI_RANGE,5.0,9,,Not Yet
INVERTEDFLT_CH,0.0,2,,Not Yet
HIL_SERVOS,0.0,2,,Not Yet
HIL_ERR_LIMIT,5.0,9,,Not Yet
RTL_AUTOLAND,0.0,2,,Not Yet
TRIM_RC_AT_START,0.0,2,,Not Yet
GND_ABS_PRESS,50705.5625,9,,Not Yet
